movieId,userId,name,rating,timestamp
1,630,Glenn Mitchell,4.0,1443807734
1,636,Beverly Mcdonald,3.0,855227186
1,641,Kimberly Smith,4.0,850021197
1,647,Elizabeth Franklin,4.0,947292218
1,646,Joshua Elliott,5.0,953449518
1,649,Elizabeth Garrison,4.0,834424768
1,653,Jonathan Cobb,4.0,948160430
1,654,Jesse Bradley,5.0,1145390085
1,663,Amber Lee,4.0,1438397999
1,664,Donald Munoz,3.5,1362421730
1,660,Shawn Davis,2.5,1436680062
1,670,Sarah Calhoun,4.0,938782344
1,671,Michelle Taylor,5.0,1064891129
1,585,Leslie Brady,4.0,974607482
1,586,Patrick Thomas,4.0,1214234202
1,584,Robert Gallegos,5.0,1276156510
1,580,Jennifer Berry,4.0,1155616380
1,597,Sara Stewart,5.0,940708550
1,598,Terry Mullins,4.5,1057554797
1,596,Miguel Marshall,3.5,1145034973
1,594,Tiffany Montoya,4.0,938948878
1,595,Andrea Wilson,5.0,965077903
1,608,Felicia Green,4.0,939461651
1,607,David Farmer,4.5,1113319531
1,603,Jackie Bradford,4.0,868354978
1,623,Renee Ford,4.5,1225256593
1,624,Karen Avila,5.0,1019126661
1,616,Daniel Mcbride,4.0,860572913
1,615,Sierra Chandler,4.0,1425504992
1,547,Darlene Garcia,3.5,1053173138
1,553,Carlos Yang,4.0,1423011192
1,559,Jessica Meyer,4.0,903143238
1,560,Lee Shelton,4.5,1452849340
1,548,Paul Fox,4.0,857405395
1,562,John Nelson,4.5,1167426662
1,561,Brooke Wagner MD,3.0,1172695347
1,564,Robert Brooks,4.0,974712079
1,575,Vincent Glass,3.0,1012595781
1,574,Michelle Robinson,4.0,1232811316
1,577,Robert Bush,5.0,1111475159
1,570,Catherine Trujillo,1.5,1475783711
1,568,Brandy Fowler,3.0,835002305
1,509,Crystal Spencer,3.0,939329344
1,506,Dana Mills,4.0,865395296
1,507,James Francis,3.0,862090954
1,514,Joseph Barrera,4.0,853892832
1,510,Jason Scott,1.0,944346953
1,490,Cynthia Sparks,1.0,851786086
1,491,Ryan Dorsey,5.0,940796476
1,484,Alexis Steele MD,3.0,851345204
1,486,Linda Brown,5.0,1464121011
1,502,Mr. Steven Hernandez,4.0,861302126
1,503,Alan Jefferson,4.0,1432365762
1,501,Jose Miller,5.0,1283137657
1,500,Christian Carter,2.0,1228946388
1,530,Laura Obrien,5.0,879014231
1,531,Frederick Williamson,3.0,1240402247
1,529,Christopher Thomas,4.0,959965342
1,537,George Smith,5.0,879502465
1,543,Melissa Aguirre,5.0,866931481
1,542,Dylan Rich,4.5,1424965705
1,538,Jennifer Contreras,5.0,831835670
1,534,Sandy Jones,5.0,973376852
1,518,Anthony Cook,5.0,945369114
1,525,William Weber,2.0,1024928544
1,526,Sarah Torres,4.0,1428641074
1,520,Cheryl Gordon,3.0,1142028487
1,461,Thomas Foster,3.5,1090907386
1,460,Kelly Long,4.5,1072836909
1,459,Shari Bentley,5.0,859210690
1,458,Mary Floyd,3.5,1365115663
1,463,Joel Hicks,3.0,1049913385
1,468,Rita Owens,4.0,1296195523
1,466,James Ford,5.0,944892273
1,456,Craig Harris,3.5,1432307903
1,455,Claudia Parks,3.5,1110395566
